Player_Id,Year,Rnd,Pick,Tm,Player,Pos,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ,
BrowAB00,1989,8,209,NYJ,A.B. Brown,RB,RB,0,23,1992,0,0,0,0,0,33,,,,,,40,117,1,8,40,0,,,West Virginia,,
,1995,7,231,CLE,A.C. Tellison,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),
CannA.00,2015,3,67,JAX,A.J. Cann,G,G,0,23,2016,0,0,2,6,6,24,,,,,,,,,,,,,,,South Carolina,
,2007,4,105,DET,A.J. Davis,DB,DB,0,,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,
DerbA.00,2015,6,202,NWE,A.J. Derby,TE,TE,0,24,2016,0,0,0,0,0,6,,,,,,,,,2,22,0,,,,Arkansas,
EddsA.99,2010,4,119,MIA,A.J. Edds,LB,LB,0,23,2014,0,0,0,0,,17,,,,,,,,,,,,4,,,Iowa,
FeelA.00,2001,5,155,PHI,A.J. Feeley,QB,QB,0,24,2011,0,0,1,7,6,28,425,762,4618,28,31,37,49,1,,,,2,,,Oregon,
GreeA.00,2011,1,4,CIN,A.J. Green,WR,WR,0,23,2016,0,5,6,53,53,86,,,,,,11,93,0,481,7135,49,8,,,Georgia,
GreeA.20,1989,9,245,NYG,A.J. Greene,DB,DB,0,23,1991,0,0,0,0,0,2,,,,,,,,,,,,,,Wake Forest,,
HawkA.20,2006,1,5,GNB,A.J. Hawk,LB,LB,0,22,2016,0,0,10,59,56,159,,,,,,,,,,,,644,9,20,Ohio St.,
JenkA.00,2012,1,30,SFO,A.J. Jenkins,WR,WR,0,23,2014,0,0,0,2,0,28,,,,,,4,4,0,17,223,0,,,,Illinois,
JenkA.20,1989,9,228,PIT,A.J. Jenkins,LB,LB,0,23,1990,0,0,0,2,2,21,,,,,,,,,,,,,2,Cal State-Fullerton,,
JimeA.20,1990,8,197,RAI,A.J. Jimerson,LB,LB,0,22,1991,0,0,0,1,1,17,,,,,,,,,,,,,,Norfolk St.,,
JohnA.20,1989,6,149,WAS,A.J. Johnson,DB,DB,0,22,1995,0,0,2,15,15,71,,,,,,,,,,,,9,1,Texas St.,,
KleiAJ00,2013,5,148,CAR,A.J. Klein,LB,LB,10,22,2016,0,0,1,10,10,54,,,,,,,,,,,,80,1,3,Iowa St.,
McCaA.00,2014,5,164,CIN,A.J. McCarron,QB,QB,0,24,2016,0,0,0,3,3,8,79,119,854,6,2,14,31,0,,,,,,,Alabama,
NichA.20,2006,5,157,CIN,A.J. Nicholson,LB,LB,0,23,2006,0,0,0,0,0,2,,,,,,,,,,,,,,,Florida St.,
OfodA.00,1994,5,158,BUF,A.J. Ofodile,TE,TE,0,20,1999,0,0,0,0,,24,,,,,,,,,4,25,0,,,,Missouri,
ShipA.20,2009,7,226,PIT,A.Q. Shipley,C,C,0,23,2016,0,0,2,12,,67,,,,,,,,,,,,,,,,
BeasAa20,1996,3,63,JAX,Aaron Beasley,DB,DB,31,23,2004,0,0,7,45,32,121,,,,,,,,,,,,365,24,8.5,West Virginia,
,2007,7,241,CHI,Aaron Brant,G,G,0,,,0,0,0,,,,,,,,,,,,,,,,,,Iowa St.,
BrooAa00,1999,4,131,GNB,Aaron Brooks,QB,QB,64,23,2006,0,0,6,65,,93,1673,2963,20261,123,92,362,1534,13,1,1,0,11,,,Virginia,
BrowAa01,2012,7,209,STL,Aaron Brown,LB,LB,0,,,0,0,0,,,,,,,,,,,,,,,,,,Hawaii,
BrowAa00,2009,6,192,DET,Aaron Brown,RB,RB,2,23,2011,0,0,0,2,2,22,,,,,,45,189,0,18,138,1,,,,,
,1989,12,324,NWE,Aaron Chubb,LB,LB,0,,,0,0,0,,,,,,,,,,,,,,,,,Georgia,,
ColvAa00,2014,4,114,JAX,Aaron Colvin,DB,DB,6,22,2016,0,0,1,6,6,28,,,,,,,,,,,,100,,5,Oklahoma,
CoxxAa00,1988,1,20,RAM,Aaron Cox,WR,WR,16,23,1993,0,0,1,15,15,82,,,,,,,,,102,1732,8,,,Arizona St.,,
CravAa00,1991,3,60,MIA,Aaron Craver,RB,RB,10,22,1999,0,0,4,19,3,103,0,2,0,0,0,243,966,10,170,1364,4,,,Fresno St.,,
CurrAa99,2009,1,4,SEA,Aaron Curry,LB,LB,18,23,2012,0,0,3,17,13,48,,,,,,,,,,,,190,,,,
DobsAa00,2013,2,59,NWE,Aaron Dobson,WR,WR,6,22,2015,0,0,1,6,6,24,,,,,,,,,53,698,4,1,,,Marshall,
DonaAa00,2014,1,13,STL,Aaron Donald,DT,DT,31,23,2016,1,2,3,30,30,42,,,,,,,,,,,,105,,25,Pittsburgh,
,1990,7,191,NYG,Aaron Emanuel,RB,RB,0,,,0,0,0,,,,,,,,,,,,,,,,,USC,,
GibsAa20,1999,1,27,DET,Aaron Gibson,T,T,14,22,2004,0,0,1,13,7,38,,,,,,,,,,,,,,,Wisconsin,
GlenAa00,1994,1,12,NYJ,Aaron Glenn,DB,DB,40,22,2008,0,3,11,72,49,205,,,,,,,,,,,,549,41,1,Texas A&M,
GrahAa20,1996,4,112,ARI,Aaron Graham,C,C,20,23,2002,0,0,2,21,19,92,,,,,,,,,,,,,,,Nebraska,
HaydAa00,1995,4,104,SDG,Aaron Hayden,RB,RB,5,22,1998,0,0,0,5,4,32,,,,,,215,784,4,8,74,0,,,,Tennessee,
HernAa00,2010,4,113,NWE,Aaron Hernandez,TE,TE,23,20,2012,0,0,2,22,22,38,,,,,,9,97,0,175,1956,18,,,,Florida,
,2003,6,194,DEN,Aaron Hunt,DE,DE,0,,,0,0,0,,,,,,,,,,,,,,,,,,,
JoneAa20,1988,1,18,PIT,Aaron Jones,DE,DE,14,21,1996,0,0,2,18,13,112,,,,,,,,,,,,1,18,East. Kentucky,,
KampAa99,2002,5,156,GNB,Aaron Kampman,DE,DE,37,22,2011,0,2,8,57,55,123,,,,,,,,,,,,336,,58,Iowa,
LainAa00,1994,5,137,SDG,Aaron Laing,TE,TE,1,23,1997,0,0,0,1,0,32,,,,,,,,,18,147,1,,,,New Mexico St.,
,2002,7,254,TAM,Aaron Lockett,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,
LyncAa00,2014,5,150,SFO,Aaron Lynch,DE,DE,8,21,2016,0,0,1,8,8,33,,,,,,,,,,,,52,,13.5,South Florida,
MaybAa99,2009,1,11,BUF,Aaron Maybin,DE,DE,5,21,2012,0,0,0,5,2,48,,,,,,,,,,,,25,,,,
MellAa00,2013,7,238,BAL,Aaron Mellette,WR,WR,0,23,,0,0,0,,,,,,,,,,,,,,,,,,Elon,
MerzAa20,2006,7,248,BUF,Aaron Merz,G,G,1,23,2006,0,0,0,1,1,7,,,,,,,,,,,,,,,California,
MurrAa00,2014,5,163,KAN,Aaron Murray,QB,QB,0,23,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,
PearAa20,1986,11,285,KAN,Aaron Pearson,LB,LB,8,22,1988,0,0,2,8,8,43,,,,,,,,,,,,,,Mississippi St.,,
PierAa00,1992,3,69,NYG,Aaron Pierce,TE,TE,8,23,1999,0,0,3,8,8,82,,,,,,2,7,1,97,1029,5,,,Washington,,
RipkAa00,2015,6,206,GNB,Aaron Ripkowski,FB,FB,0,22,2016,0,0,0,0,0,25,,,,,,16,72,0,5,30,0,,,,Oklahoma,
RodgAa00,2005,1,24,GNB,Aaron Rodgers,QB,QB,34,21,2016,2,5,9,112,112,136,2892,4457,35160,282,72,474,2434,24,1,-1,0,6,,,California,
RossAa99,2007,1,20,NYG,Aaron Ross,DB,DB,19,25,2013,0,0,4,21,19,83,,,,,,,,,,,,201,11,2.5,Texas,
RousAa99,2007,3,89,GNB,Aaron Rouse,DB,DB,8,23,2009,0,0,1,8,5,41,,,,,,,,,,,,109,4,1,Virginia Tech,
SchoAa99,2001,2,46,BUF,Aaron Schobel,DE,DE,37,24,2009,0,2,8,61,61,133,,,,,,,,,,,,333,3,78,TCU,
SheaAa00,2000,4,110,CLE,Aaron Shea,TE,TE,5,23,2005,0,0,1,6,6,65,,,,,,,,,97,851,7,14,,,Michigan,College Stats
SmitAa99,1999,4,109,PIT,Aaron Smith,DE,DE,35,23,2011,0,1,7,71,71,160,,,,,,,,,,,,326,1,44,Northern Colorado,
,1998,7,190,IND,Aaron Taylor,G,G,0,,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska,
TaylAa20,1994,1,16,GNB,Aaron Taylor,G,G,38,21,1999,0,0,5,35,26,75,,,,,,,,,,,,,,,Notre Dame,
WalkAa00,2003,5,161,SFO,Aaron Walker,TE,TE,3,23,2007,0,0,0,3,2,55,,,,,,,,,25,312,1,9,,,,
WallAa20,1990,2,37,RAI,Aaron Wallace,LB,LB,22,23,1998,0,0,2,22,22,102,,,,,,,,,,,,,21,Texas A&M,,
WillAa00,2011,2,34,BUF,Aaron Williams,DB,DB,17,21,2016,0,0,2,16,16,59,,,,,,,,,,,,183,7,,Texas,
,1988,12,308,IND,Aatron Kenney,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,Wisc-Stevens Point,,
HodgAb20,2006,3,67,GNB,Abdul Hodge,LB,LB,2,24,2010,0,0,0,2,1,35,,,,,,,,,,,,25,,,Iowa,
,2007,7,238,MIA,Abraham Wright,DE,DE,0,,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,
SandAc00,2013,4,101,JAX,Ace Sanders,WR,WR,3,21,2014,0,0,0,3,3,27,1,1,21,1,0,2,4,0,57,539,1,2,,,South Carolina,
ThomAd00,2000,6,186,BAL,Adalius Thomas,LB,LB,29,23,2009,1,2,8,66,51,135,,,,,,,,,,,,405,7,53,Southern Miss,College Stats
ArchAd20,2001,1,20,STL,Adam Archuleta,DB,DB,29,23,2007,0,0,6,32,26,103,,,,,,,,,,,,452,4,18,Arizona St.,
BobxAd20,1989,10,265,NYJ,Adam Bob,LB,LB,0,21,1989,0,0,0,0,0,5,,,,,,,,,,,,,,Texas A&M,,
CarrAd99,2007,1,13,STL,Adam Carriker,DE,DE,24,23,2012,0,0,3,23,9,65,,,,,,,,,,,,85,,9,Nebraska,
GettAd00,2012,5,141,WAS,Adam Gettis,G,G,1,23,2016,0,0,0,1,1,16,,,,,,,,,,,,,,,Iowa,
HaayAd20,2001,6,199,TEN,Adam Haayer,T,T,3,24,2005,0,0,0,3,,20,,,,,,,,,,,,,,,Minnesota,
